c_t,o_t,o,h,l,c,v
2022-10-01 11:50:00,2022-10-01 11:45:00,19291.45,19299.0,19267.78,19274.66,702.78387
2022-10-01 11:55:00,2022-10-01 11:50:00,19275.51,19318.3,19257.01,19316.3,955.34635
2022-10-01 12:00:00,2022-10-01 11:55:00,19315.04,19333.0,19295.68,19312.04,692.52294
2022-10-01 12:05:00,2022-10-01 12:00:00,19312.04,19314.0,19295.0,19304.59,684.61416
2022-10-01 12:10:00,2022-10-01 12:05:00,19304.6,19308.09,19284.89,19286.91,452.80168
2022-10-01 12:15:00,2022-10-01 12:10:00,19285.61,19294.72,19271.27,19285.58,478.68723
2022-10-01 12:20:00,2022-10-01 12:15:00,19285.91,19303.0,19274.82,19291.19,601.29963
2022-10-01 12:25:00,2022-10-01 12:20:00,19290.44,19294.29,19251.88,19260.67,586.13011
2022-10-01 12:30:00,2022-10-01 12:25:00,19260.67,19283.7,19253.94,19266.92,804.991
2022-10-01 12:35:00,2022-10-01 12:30:00,19266.93,19287.37,19257.62,19265.53,761.46314
2022-10-01 12:40:00,2022-10-01 12:35:00,19264.8,19274.0,19258.5,19261.18,479.17021
2022-10-01 12:45:00,2022-10-01 12:40:00,19260.52,19267.25,19240.08,19248.56,702.57006
2022-10-01 12:50:00,2022-10-01 12:45:00,19247.03,19281.12,19246.9,19273.12,668.19647
2022-10-01 12:55:00,2022-10-01 12:50:00,19274.37,19284.75,19258.44,19278.76,609.5632
2022-10-01 13:00:00,2022-10-01 12:55:00,19278.76,19299.44,19274.17,19296.57,538.78054
2022-10-01 13:05:00,2022-10-01 13:00:00,19295.6,19303.5,19277.08,19280.85,795.68919
2022-10-01 13:10:00,2022-10-01 13:05:00,19280.85,19294.62,19277.94,19293.1,448.71391
2022-10-01 13:15:00,2022-10-01 13:10:00,19294.13,19337.22,19289.56,19328.47,1194.60712
2022-10-01 13:20:00,2022-10-01 13:15:00,19327.8,19366.49,19322.54,19354.62,1471.66148
2022-10-01 13:25:00,2022-10-01 13:20:00,19354.63,19400.02,19342.76,19363.41,1390.26243
2022-10-01 13:30:00,2022-10-01 13:25:00,19363.41,19369.19,19340.29,19347.38,816.35892
2022-10-01 13:35:00,2022-10-01 13:30:00,19347.38,19355.0,19331.93,19344.41,619.50777
2022-10-01 13:40:00,2022-10-01 13:35:00,19344.41,19352.87,19338.16,19344.15,542.15491
2022-10-01 13:45:00,2022-10-01 13:40:00,19344.87,19370.39,19332.08,19344.55,811.53658
2022-10-01 13:50:00,2022-10-01 13:45:00,19343.25,19350.02,19325.0,19325.95,780.20358
2022-10-01 13:55:00,2022-10-01 13:50:00,19326.55,19338.25,19321.95,19334.49,465.04541
2022-10-01 14:00:00,2022-10-01 13:55:00,19334.49,19335.0,19325.9,19332.38,393.29104
2022-10-01 14:05:00,2022-10-01 14:00:00,19331.95,19346.48,19327.81,19344.37,530.99405
2022-10-01 14:10:00,2022-10-01 14:05:00,19344.37,19346.22,19306.65,19332.51,647.35929
2022-10-01 14:15:00,2022-10-01 14:10:00,19333.28,19346.53,19330.61,19338.5,543.40727
2022-10-01 14:20:00,2022-10-01 14:15:00,19337.69,19341.27,19317.02,19326.45,565.34667
2022-10-01 14:25:00,2022-10-01 14:20:00,19326.45,19330.91,19318.2,19327.35,378.38636
2022-10-01 14:30:00,2022-10-01 14:25:00,19327.35,19339.46,19320.01,19331.86,408.76038
2022-10-01 14:35:00,2022-10-01 14:30:00,19331.86,19342.49,19322.87,19323.71,452.23312
2022-10-01 14:40:00,2022-10-01 14:35:00,19323.71,19326.75,19288.0,19311.71,1097.94381
2022-10-01 14:45:00,2022-10-01 14:40:00,19310.76,19314.98,19298.42,19308.27,534.39456
2022-10-01 14:50:00,2022-10-01 14:45:00,19309.11,19310.4,19289.0,19305.42,535.76293
2022-10-01 14:55:00,2022-10-01 14:50:00,19305.42,19339.13,19299.07,19327.54,700.88084
2022-10-01 15:00:00,2022-10-01 14:55:00,19327.54,19340.12,19313.48,19321.72,698.3295
2022-10-01 15:05:00,2022-10-01 15:00:00,19321.7,19326.76,19304.4,19315.38,540.98951
2022-10-01 15:10:00,2022-10-01 15:05:00,19314.09,19323.0,19308.38,19318.4,366.28942
2022-10-01 15:15:00,2022-10-01 15:10:00,19319.0,19340.02,19315.09,19334.61,433.40874
2022-10-01 15:20:00,2022-10-01 15:15:00,19335.88,19349.0,19325.14,19333.19,614.31681
2022-10-01 15:25:00,2022-10-01 15:20:00,19333.19,19363.72,19324.72,19359.56,597.24454
2022-10-01 15:30:00,2022-10-01 15:25:00,19359.56,19362.65,19343.98,19348.01,527.9884
2022-10-01 15:35:00,2022-10-01 15:30:00,19347.34,19349.99,19330.96,19337.26,341.03714
2022-10-01 15:40:00,2022-10-01 15:35:00,19337.27,19342.38,19325.99,19335.19,265.34033
2022-10-01 15:45:00,2022-10-01 15:40:00,19335.19,19337.13,19324.08,19329.8,343.57718
2022-10-01 15:50:00,2022-10-01 15:45:00,19329.43,19332.24,19321.51,19326.01,288.75144
2022-10-01 15:55:00,2022-10-01 15:50:00,19326.01,19348.51,19326.01,19338.23,417.45717
2022-10-01 16:00:00,2022-10-01 15:55:00,19339.34,19339.36,19321.79,19330.95,438.36063
2022-10-01 16:05:00,2022-10-01 16:00:00,19332.42,19348.86,19328.84,19335.48,688.44133
2022-10-01 16:10:00,2022-10-01 16:05:00,19336.41,19345.93,19300.24,19341.97,730.6097
2022-10-01 16:15:00,2022-10-01 16:10:00,19342.68,19353.81,19298.07,19311.4,776.09074
2022-10-01 16:20:00,2022-10-01 16:15:00,19312.13,19313.32,19285.28,19298.68,691.86847
2022-10-01 16:25:00,2022-10-01 16:20:00,19298.68,19303.84,19260.39,19281.81,1196.0152
2022-10-01 16:30:00,2022-10-01 16:25:00,19282.8,19308.0,19277.05,19300.15,731.60725
2022-10-01 16:35:00,2022-10-01 16:30:00,19301.7,19303.49,19280.01,19295.31,529.3066
2022-10-01 16:40:00,2022-10-01 16:35:00,19295.81,19302.07,19289.46,19300.48,389.49421
2022-10-01 16:45:00,2022-10-01 16:40:00,19301.55,19302.06,19244.29,19281.25,1159.67366
2022-10-01 16:50:00,2022-10-01 16:45:00,19281.25,19282.4,19245.55,19267.01,932.78793
2022-10-01 16:55:00,2022-10-01 16:50:00,19267.01,19288.45,19260.7,19276.35,727.87416
2022-10-01 17:00:00,2022-10-01 16:55:00,19276.35,19298.49,19270.92,19291.16,489.19909
2022-10-01 17:05:00,2022-10-01 17:00:00,19291.72,19301.27,19280.68,19298.49,543.50848
2022-10-01 17:10:00,2022-10-01 17:05:00,19298.5,19317.02,19288.1,19302.14,688.39474
2022-10-01 17:15:00,2022-10-01 17:10:00,19302.14,19302.87,19287.36,19292.0,535.63277
2022-10-01 17:20:00,2022-10-01 17:15:00,19292.0,19317.06,19285.22,19307.79,720.65136
2022-10-01 17:25:00,2022-10-01 17:20:00,19307.33,19309.79,19255.02,19263.08,830.36328
2022-10-01 17:30:00,2022-10-01 17:25:00,19262.09,19285.6,19259.7,19282.57,533.00664
2022-10-01 17:35:00,2022-10-01 17:30:00,19282.57,19290.57,19277.0,19285.73,326.48891
2022-10-01 17:40:00,2022-10-01 17:35:00,19285.73,19288.23,19278.4,19286.41,332.30782
2022-10-01 17:45:00,2022-10-01 17:40:00,19286.15,19292.35,19278.26,19291.0,394.54269
2022-10-01 17:50:00,2022-10-01 17:45:00,19291.15,19298.74,19245.42,19291.3,790.61791
2022-10-01 17:55:00,2022-10-01 17:50:00,19291.3,19293.07,19274.16,19280.77,427.27345
2022-10-01 18:00:00,2022-10-01 17:55:00,19279.54,19280.77,19261.0,19277.7,342.06576
2022-10-01 18:05:00,2022-10-01 18:00:00,19276.83,19284.09,19264.98,19265.52,429.13425
2022-10-01 18:10:00,2022-10-01 18:05:00,19264.99,19265.52,19206.63,19242.47,1218.65001
2022-10-01 18:15:00,2022-10-01 18:10:00,19243.84,19254.42,19241.17,19249.4,480.30598
2022-10-01 18:20:00,2022-10-01 18:15:00,19249.4,19275.86,19245.28,19267.45,460.06494
2022-10-01 18:25:00,2022-10-01 18:20:00,19266.77,19271.34,19253.8,19264.0,396.4975
